<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.09.18	00:00:00.101	1.31590	1.31639			6
2024.09.18	00:00:01.064	1.31506	1.31698			6
2024.09.18	00:00:11.116	1.31508	1.31700			6
2024.09.18	00:00:19.041	1.31510	1.31702			6
2024.09.18	00:01:00.502	1.31510				2
2024.09.18	00:01:39.025	1.31448	1.31764			6
2024.09.18	00:01:39.828	1.31507	1.31699			6
2024.09.18	00:02:39.752	1.31505	1.31697			6
2024.09.18	00:03:39.774	1.31507	1.31699			6
2024.09.18	00:04:10.371	1.31507				2
2024.09.18	00:04:39.767	1.31506	1.31698			6
2024.09.18	00:05:00.440	1.31510	1.31702			6
2024.09.18	00:05:01.067	1.31526	1.31718			6
2024.09.18	00:05:01.823	1.31510	1.31702			6
2024.09.18	00:05:05.253	1.31514	1.31706			6
2024.09.18	00:05:05.568	1.31515	1.31707			6
2024.09.18	00:05:10.468	1.31514	1.31706			6
2024.09.18	00:05:16.346	1.31515	1.31707			6
2024.09.18	00:05:26.591	1.31518	1.31710			6
2024.09.18	00:06:00.538	1.31520	1.31712			6
2024.09.18	00:06:05.249	1.31524	1.31716			6
2024.09.18	00:06:07.259	1.31516	1.31708			6
2024.09.18	00:06:17.439	1.31514	1.31706			6
2024.09.18	00:06:27.629	1.31519	1.31711			6
2024.09.18	00:06:37.856	1.31520	1.31712			6
2024.09.18	00:06:48.103	1.31521	1.31713			6
2024.09.18	00:07:00.529	1.31522	1.31714			6
2024.09.18	00:07:08.518	1.31521	1.31713			6
2024.09.18	00:07:28.534	1.31516	1.31708			6
2024.09.18	00:07:37.853	1.31522	1.31714			6
2024.09.18	00:07:38.506	1.31519	1.31711			6
2024.09.18	00:07:48.746	1.31527	1.31719			6
2024.09.18	00:07:53.633	1.31526	1.31718			6
2024.09.18	00:08:01.722	1.31526				2
2024.09.18	00:08:28.747	1.31522	1.31714			6
2024.09.18	00:08:37.872	1.31524	1.31716			6
2024.09.18	00:08:42.345	1.31523	1.31715			6
2024.09.18	00:08:43.894	1.31518	1.31710			6
2024.09.18	00:08:49.997	1.31519	1.31711			6
2024.09.18	00:08:55.701	1.31518	1.31710			6
2024.09.18	00:09:00.543	1.31520	1.31712			6
2024.09.18	00:10:00.426	1.31520				2
2024.09.18	00:10:02.310	1.31518	1.31710			6
2024.09.18	00:10:02.784	1.31516	1.31708			6
2024.09.18	00:10:03.234	1.31518	1.31710			6
2024.09.18	00:10:04.743	1.31520	1.31712			6
2024.09.18	00:10:10.808	1.31513	1.31705			6
2024.09.18	00:10:11.679	1.31520	1.31712			6
2024.09.18	00:10:12.367	1.31514	1.31706			6
2024.09.18	00:10:12.809	1.31520	1.31703			6
2024.09.18	00:10:13.826		1.31702			4
2024.09.18	00:10:14.820		1.31703			4
2024.09.18	00:10:15.463	1.31510	1.31702			6
2024.09.18	00:10:23.387	1.31520	1.31712			6
2024.09.18	00:10:23.736	1.31524	1.31716			6
2024.09.18	00:10:24.747	1.31523	1.31715			6
2024.09.18	00:10:25.445	1.31524	1.31716			6
2024.09.18	00:10:25.752	1.31510	1.31702			6
2024.09.18	00:10:28.755	1.31512	1.31704			6
2024.09.18	00:10:30.507	1.31514	1.31706			6
2024.09.18	00:10:30.917	1.31510	1.31702			6
2024.09.18	00:10:32.091	1.31516	1.31708			6
2024.09.18	00:10:33.393	1.31512	1.31704			6
2024.09.18	00:10:34.321	1.31513	1.31705			6
2024.09.18	00:10:35.683	1.31514	1.31706			6
2024.09.18	00:10:36.694	1.31510	1.31702			6
2024.09.18	00:10:37.025	1.31520	1.31712			6
2024.09.18	00:10:38.749	1.31522	1.31714			6
2024.09.18	00:10:40.393	1.31518	1.31710			6
2024.09.18	00:10:41.131	1.31519	1.31711			6
2024.09.18	00:10:47.399	1.31512	1.31704			6
2024.09.18	00:10:47.709	1.31528	1.31720			6
2024.09.18	00:10:48.048	1.31532	1.31724			6
2024.09.18	00:10:49.757	1.31522	1.31714			6
2024.09.18	00:10:51.553	1.31521	1.31713			6
2024.09.18	00:10:53.794	1.31514	1.31706			6
2024.09.18	00:10:58.620	1.31512	1.31704			6
2024.09.18	00:11:01.401	1.31512				2
2024.09.18	00:11:03.302	1.31513	1.31705			6
2024.09.18	00:11:03.838	1.31514	1.31706			6
2024.09.18	00:11:05.730	1.31510	1.31702			6
2024.09.18	00:11:06.664		1.31674			4
2024.09.18	00:11:08.382	1.31513	1.31669			6
2024.09.18	00:11:10.289		1.31705			4
2024.09.18	00:11:10.917	1.31510	1.31663			6
2024.09.18	00:11:12.713	1.31512				2
2024.09.18	00:11:15.174	1.31510				2
2024.09.18	00:11:18.424	1.31516				2
2024.09.18	00:11:20.503	1.31518				2
2024.09.18	00:11:21.307	1.31510				2
2024.09.18	00:11:22.900	1.31511	1.31677			6
2024.09.18	00:11:25.135	1.31510	1.31666			6
2024.09.18	00:11:31.654	1.31512				2
2024.09.18	00:11:37.939	1.31510				2
2024.09.18	00:11:43.120	1.31514	1.31663			6
2024.09.18	00:11:45.191	1.31515	1.31662			6
2024.09.18	00:11:48.505	1.31510	1.31661			6
2024.09.18	00:11:50.809		1.31662			4
2024.09.18	00:11:53.336		1.31655			4
2024.09.18	00:12:03.046	1.31510	1.31651			6
2024.09.18	00:12:03.363		1.31653			4
2024.09.18	00:12:06.357		1.31665			4
2024.09.18	00:12:11.056	1.31508				2
2024.09.18	00:12:11.366	1.31510	1.31666			6
2024.09.18	00:12:13.347		1.31655			4
2024.09.18	00:12:15.906	1.31507				2
2024.09.18	00:12:21.547	1.31508				2
2024.09.18	00:12:22.351		1.31648			4
2024.09.18	00:12:23.349	1.31510				2
2024.09.18	00:12:33.350	1.31512				2
2024.09.18	00:12:37.608	1.31510				2
2024.09.18	00:12:43.362	1.31514				2
